N,1st Run,2nd Run,3rd Run,Average,Value 1,Value 2,Value 3
1000,1470,1492,998,1320,1470,1492,998
2000,1498,500,1497,1165,1498,500,1497
3000,1000,1994,1499,1497.6666666666667,1000,1994,1499
4000,1496,1496,1498,1496.6666666666667,1496,1496,1498
5000,1500,1000,1000,1166.6666666666667,1500,1000,1000
6000,1493,2000,1500,1664.3333333333333,1493,2000,1500
7000,1500,2495,1500,1831.6666666666667,1500,2495,1500
8000,2000,1999,500,1499.6666666666667,2000,1999,500
9000,1490,2500,500,1496.6666666666667,1490,2500,500
10000,1997,1000,1500,1499,1997,1000,1500
