N,1st Run,2nd Run,3rd Run,Average,Value 1,Value 2,Value 3
1000,2798,2490,3065,2784.3333333333335,2798,2490,3065
2000,2266,2102,3111,2493,2266,2102,3111
3000,2637,2783,2470,2630,2637,2783,2470
4000,2619,2939,2693,2750.3333333333335,2619,2939,2693
5000,2304,2603,3144,2683.6666666666665,2304,2603,3144
6000,2456,3205,3039,2900,2456,3205,3039
7000,2831,2943,2748,2840.6666666666665,2831,2943,2748
8000,2667,3168,2775,2870,2667,3168,2775
9000,2269,2191,3378,2612.6666666666665,2269,2191,3378
10000,3110,2963,2848,2973.6666666666665,3110,2963,2848
