N,1st Run,2nd Run,3rd Run,Average,Weight 1,Weight 2,Weight 3,Time 1,Time 2,Time 3,Average Time
1000,3828,3725,3745,3766,1000,998,989,0.1439525,0.1062001,0.1506593,0.13360396666666666
2000,3644,4132,4076,3950.6666666666665,996,999,998,0.3615819,0.2450852,0.2080891,0.27158540000000003
3000,4224,4309,4148,4227,995,997,1000,0.3327124,0.3174686,0.2955747,0.31525190000000003
4000,4228,4241,4168,4212.333333333333,996,999,1000,0.4521486,0.4541727,0.4203339,0.4422184
5000,4358,4097,4419,4291.333333333333,999,995,999,0.556468,0.4894918,0.465054,0.5036712666666666
6000,4299,4387,4443,4376.333333333333,999,997,1000,0.5861495,0.5968046,0.5791585,0.5873708666666667
7000,4397,4377,4323,4365.666666666667,996,999,1000,0.7071045,1.0260878,0.9860971,0.9064298000000001
8000,4384,4224,4407,4338.333333333333,999,1000,996,1.314832,1.172555,0.9835772,1.1569880666666668
9000,4343,4444,4424,4403.666666666667,1000,992,1000,1.0698143,1.1525134,1.0300358,1.0841211666666668
10000,4415,4432,4409,4418.666666666667,994,996,999,1.1515106,0.941253,0.9016748,0.9981461333333334
11000,4397,4369,4416,4394,997,1000,1000,0.9998386,1.0489605,1.0925702,1.0471231
12000,4399,4425,4441,4421.666666666667,998,998,1000,1.2686738,1.1133367,1.2976149000000001,1.2265418
13000,4420,4463,4379,4420.666666666667,998,998,999,1.513887,1.2471361,1.2778178,1.3462803
14000,4448,4428,4430,4435.333333333333,1000,999,997,1.5452539,1.4248705,1.5794172,1.5165138666666664
15000,4438,4463,4450,4450.333333333333,1000,994,994,1.6148066,1.8415576,1.4829723000000001,1.6464455000000002
16000,4436,4425,4436,4432.333333333333,999,1000,1000,1.8684506,1.6582545,1.6694421,1.7320490666666668
17000,4447,4483,4471,4467,1000,999,999,2.1115154,2.109522,1.7294770000000002,1.9835048000000002
18000,4431,4445,4472,4449.333333333333,1000,994,999,1.7650804,2.0073152,1.990394,1.9209298666666665
19000,4435,4446,4426,4435.666666666667,998,997,998,1.8214329999999999,2.1286838,2.7853955,2.2451707666666665
20000,4471,4476,4454,4467,999,997,995,2.8628561,2.7749862,2.9271901,2.8550108
21000,4455,4469,4471,4465,1000,998,1000,2.9662094,2.499244,3.0942761,2.8532431666666667
22000,4459,4446,4466,4457,999,998,999,2.8914792,3.0330826,2.6961972,2.8735863333333334
23000,4480,4460,4427,4455.666666666667,994,1000,998,2.9613317,2.8897809,2.7926513,2.881254633333333
24000,4470,4468,4420,4452.666666666667,1000,997,997,2.9312932,3.0497385,2.5583434,2.846458366666667
25000,4484,4444,4479,4469,993,999,999,2.8732290000000003,3.0726335,2.9954202,2.9804275666666666
26000,4459,4441,4463,4454.333333333333,997,1000,997,3.1601554,3.1455783999999998,2.8491705,3.0516347666666666
27000,4471,4489,4453,4471,988,999,998,2.890281,2.9014419,2.8985977,2.896773533333333
28000,4468,4462,4482,4470.666666666667,997,994,999,3.2228292,3.46746,3.1233112,3.2712001333333336
29000,4478,4469,4447,4464.666666666667,998,994,998,3.1456891,3.1682195,3.5583707,3.290759766666666
30000,4464,4471,4474,4469.666666666667,998,997,996,3.697334,3.2025118,3.2138797,3.371241833333333
31000,4471,4476,4478,4475,995,1000,1000,3.5982288000000002,3.7561955,3.7263807,3.6936016666666664
32000,4480,4476,4470,4475.333333333333,999,999,999,3.5163924,3.4971065,3.4363019,3.4832669333333333
33000,4476,4482,4455,4471,999,995,1000,3.9255291,3.9914661000000002,3.4444958,3.787163666666667
