N,1st Run,2nd Run,3rd Run,Average Value,Value 1,Value 2,Value 3,Weight 1,Weight 2,Weight 3,Time 1,Time 2,Time 3,Average Time
1000,1496,1493,2477,1822,1496,1493,2477,974,994,1000,0.0004771,0.0003529,0.0003544,0.0003948
2000,1491,999,999,1163,1491,999,999,975,920,994,0.0008096,0.0007825,0.0007775,0.0007898666666666666
3000,1477,1495,1499,1490.3333333333333,1477,1495,1499,997,971,974,0.0012418,0.0012272,0.0013778,0.0012822666666666668
4000,500,1500,999,999.6666666666666,500,1500,999,903,938,971,0.0028909,0.0018,0.0018132,0.0021680333333333334
5000,1999,1496,1997,1830.6666666666667,1999,1496,1997,924,980,978,0.0028734,0.0022107,0.0023711,0.0024850666666666665
6000,1000,999,2497,1498.6666666666667,1000,999,2497,939,986,997,0.0032463,0.0027119,0.0029021,0.0029534333333333333
7000,1000,1498,1000,1166,1000,1498,1000,997,994,910,0.0030958,0.0030341,0.0036469,0.0032589333333333335
8000,2000,1000,1500,1500,2000,1000,1500,997,988,987,0.0034194,0.0033075,0.004686,0.0038043
9000,1500,2000,500,1333.3333333333333,1500,2000,500,995,996,951,0.0057236,0.0041715,0.0049704,0.004955166666666667
10000,1500,1500,1500,1500,1500,1500,1500,913,990,977,0.0051081,0.0054049,0.0059809,0.005497966666666666
11000,1000,1500,2000,1500,1000,1500,2000,905,976,992,0.0048453,0.00549,0.0046985,0.005011266666666667
12000,2000,500,1500,1333.3333333333333,2000,500,1500,994,997,985,0.0058888,0.004805,0.005307,0.0053336
13000,1500,1500,1499,1499.6666666666667,1500,1500,1499,961,996,944,0.0060259,0.0050745,0.005482,0.005527466666666667
14000,1500,2000,1500,1666.6666666666667,1500,2000,1500,992,993,911,0.0063455,0.0052858,0.0053466,0.0056593
15000,1500,2000,500,1333.3333333333333,1500,2000,500,964,923,989,0.005865,0.0068391,0.0059515,0.006218533333333334
16000,1000,1494,1500,1331.3333333333333,1000,1494,1500,917,995,964,0.0068223,0.0072163,0.0059984,0.006679
17000,1500,1000,2000,1500,1500,1000,2000,999,981,974,0.0071188,0.0068948,0.0063645,0.006792700000000001
18000,1000,2000,1000,1333.3333333333333,1000,2000,1000,926,928,909,0.0089977,0.0070366,0.0076395,0.007891266666666667
19000,1000,1999,997,1332,1000,1999,997,987,969,993,0.007753,0.0079222,0.0082291,0.0079681
20000,1500,1000,1500,1333.3333333333333,1500,1000,1500,954,991,960,0.007698,0.0072478,0.00736,0.007435266666666667
21000,1500,1500,1000,1333.3333333333333,1500,1500,1000,920,967,905,0.00799,0.009005,0.0090159,0.0086703
22000,1000,2000,1000,1333.3333333333333,1000,2000,1000,957,906,983,0.0097263,0.0080728,0.0080576,0.008618899999999999
23000,1000,2000,1000,1333.3333333333333,1000,2000,1000,990,933,970,0.0088248,0.0084095,0.0090774,0.008770566666666667
24000,1500,500,1500,1166.6666666666667,1500,500,1500,923,932,998,0.0103648,0.0090111,0.0092147,0.0095302
25000,500,1000,1000,833.3333333333334,500,1000,1000,913,986,997,0.0092299,0.0096524,0.0092791,0.009387133333333332
26000,1500,2000,500,1333.3333333333333,1500,2000,500,974,976,954,0.0097772,0.0107048,0.0102302,0.0102374
27000,1500,1500,1000,1333.3333333333333,1500,1500,1000,913,947,933,0.0102593,0.0111275,0.0106928,0.0106932
28000,1000,2000,1000,1333.3333333333333,1000,2000,1000,953,905,987,0.0125984,0.0102334,0.0110731,0.011301633333333333
29000,500,1500,1500,1166.6666666666667,500,1500,1500,951,985,942,0.0122034,0.01115,0.012483,0.011945466666666666
30000,1000,1500,1500,1333.3333333333333,1000,1500,1500,979,919,965,0.0125593,0.0130612,0.0117042,0.012441566666666667
