N,1st Run,2nd Run,3rd Run,Average Value,Value 1,Value 2,Value 3,Weight 1,Weight 2,Weight 3,Time 1,Time 2,Time 3,Average Time
1000,2593,2959,3414,2988.6666666666665,2593,2959,3414,965,938,939,0.0009924,0.0006654,0.000695,0.0007842666666666667
2000,2829,2810,2358,2665.6666666666665,2829,2810,2358,925,928,926,0.0015354,0.0009531,0.0013719,0.0012868
3000,2660,2682,2003,2448.3333333333335,2660,2682,2003,918,905,927,0.0013766,0.0013277,0.0016377,0.0014473333333333332
4000,3242,2497,2003,2580.6666666666665,3242,2497,2003,908,905,914,0.0020513,0.0017755,0.0017936,0.0018734666666666668
5000,2808,3402,2604,2938,2808,3402,2604,907,907,908,0.0022019,0.0042263,0.0030781,0.0031687666666666667
6000,2473,2925,3050,2816,2473,2925,3050,906,911,908,0.0028806,0.0028013,0.0027236,0.0028018333333333333
7000,2382,3150,2575,2702.3333333333335,2382,3150,2575,906,904,912,0.0033784,0.0033906,0.0054845,0.0040845000000000005
8000,3288,3068,2683,3013,3288,3068,2683,904,900,900,0.0036906,0.0041392,0.004345,0.004058266666666667
9000,2266,2927,2233,2475.3333333333335,2266,2927,2233,907,904,903,0.0045659,0.0048169,0.0040931,0.004491966666666666
10000,2409,3177,3214,2933.3333333333335,2409,3177,3214,901,900,905,0.005056,0.0051723,0.0050021,0.005076799999999999
11000,3212,2462,3101,2925,3212,2462,3101,1000,900,903,0.0056844,0.0052747,0.0054359,0.005465
12000,3239,2590,2014,2614.3333333333335,3239,2590,2014,903,904,903,0.0069982,0.0066489,0.0072029,0.0069500000000000004
13000,2900,2042,3129,2690.3333333333335,2900,2042,3129,902,904,902,0.0069298,0.0066027,0.0065008,0.006677766666666667
14000,3200,2543,2500,2747.6666666666665,3200,2543,2500,901,900,900,0.0073248,0.0073376,0.0073024,0.0073216
15000,2551,2979,2905,2811.6666666666665,2551,2979,2905,1000,1000,1000,0.0075865,0.007632,0.007288,0.0075021666666666665
16000,2903,3358,2851,3037.3333333333335,2903,3358,2851,1000,1000,1000,0.0082894,0.0118148,0.0079871,0.009363766666666667
17000,2528,3215,2928,2890.3333333333335,2528,3215,2928,902,1000,1000,0.0093234,0.008875,0.0083481,0.008848833333333334
18000,2851,2729,2812,2797.3333333333335,2851,2729,2812,900,1000,1000,0.0102295,0.0085224,0.0087689,0.0091736
19000,3379,2829,3497,3235,3379,2829,3497,1000,1000,1000,0.0099996,0.0097137,0.0100191,0.0099108
20000,3118,3025,3283,3142,3118,3025,3283,900,1000,1000,0.0104815,0.0102187,0.0102006,0.010300266666666667
21000,2927,3165,2723,2938.3333333333335,2927,3165,2723,1000,1000,1000,0.0118583,0.011744,0.0112407,0.011614333333333332
22000,3361,2645,3319,3108.3333333333335,3361,2645,3319,1000,1000,1000,0.0112204,0.0126022,0.010731,0.011517866666666666
23000,2858,2555,3147,2853.3333333333335,2858,2555,3147,1000,1000,1000,0.0130345,0.0117961,0.0133135,0.0127147
24000,3483,2682,3766,3310.3333333333335,3483,2682,3766,1000,1000,1000,0.0118769,0.0133246,0.0123625,0.012521333333333334
25000,3092,2892,2952,2978.6666666666665,3092,2892,2952,1000,1000,1000,0.0125278,0.0126818,0.0130589,0.012756166666666666
26000,3406,2772,3110,3096,3406,2772,3110,1000,1000,1000,0.0132847,0.0130962,0.0167182,0.014366366666666667
27000,3214,2834,3531,3193,3214,2834,3531,1000,1000,1000,0.0146991,0.014582,0.0139541,0.014411733333333334
28000,3538,3175,3327,3346.6666666666665,3538,3175,3327,1000,1000,1000,0.0136542,0.0142853,0.0142732,0.014070899999999999
29000,2623,3028,3282,2977.6666666666665,2623,3028,3282,1000,1000,1000,0.0148707,0.0144242,0.0142355,0.014510133333333333
30000,3085,2835,2854,2924.6666666666665,3085,2835,2854,1000,1000,1000,0.0147631,0.0152847,0.0147908,0.0149462
31000,2387,3351,2549,2762.3333333333335,2387,3351,2549,1000,1000,1000,0.0161547,0.0159205,0.0153525,0.015809233333333332
32000,3622,3172,3368,3387.3333333333335,3622,3172,3368,1000,1000,1000,0.0168046,0.0160354,0.016335,0.016391666666666665
33000,2941,3458,2821,3073.3333333333335,2941,3458,2821,1000,1000,1000,0.0160364,0.016865,0.0164962,0.016465866666666665
34000,2668,3629,2786,3027.6666666666665,2668,3629,2786,1000,1000,1000,0.0195384,0.0169445,0.0164527,0.0176452
35000,2383,3125,2101,2536.3333333333335,2383,3125,2101,1000,1000,1000,0.018619,0.0172604,0.0178479,0.0179091
36000,2113,2685,2677,2491.6666666666665,2113,2685,2677,1000,1000,1000,0.0182064,0.0184057,0.0187978,0.018469966666666667
37000,2896,2491,3044,2810.3333333333335,2896,2491,3044,1000,1000,1000,0.0189795,0.0198236,0.0178776,0.018893566666666667
38000,3330,2061,2920,2770.3333333333335,3330,2061,2920,1000,1000,1000,0.0179001,0.0185511,0.019839,0.0187634
39000,2692,4047,2456,3065,2692,4047,2456,1000,1000,1000,0.0200569,0.0193338,0.0192965,0.0195624
40000,2644,3114,3144,2967.3333333333335,2644,3114,3144,1000,1000,1000,0.0206399,0.0192815,0.0195973,0.019839566666666666
41000,3105,2895,3555,3185,3105,2895,3555,1000,1000,1000,0.0209662,0.0208191,0.0224318,0.0214057
42000,2938,3056,3400,3131.3333333333335,2938,3056,3400,1000,1000,1000,0.0218161,0.0223266,0.0234653,0.022536
43000,3367,2596,2640,2867.6666666666665,3367,2596,2640,1000,1000,1000,0.0215889,0.030278,0.021012,0.024292966666666665
44000,2381,3081,3370,2944,2381,3081,3370,1000,1000,1000,0.0226167,0.0203406,0.0225741,0.0218438
45000,3117,3209,3335,3220.3333333333335,3117,3209,3335,1000,1000,1000,0.0257966,0.0252729,0.022848,0.024639166666666667
46000,3402,3137,2668,3069,3402,3137,2668,1000,1000,1000,0.0233583,0.0227495,0.025046,0.02371793333333333
47000,3886,3911,3818,3871.6666666666665,3886,3911,3818,1000,1000,1000,0.0262474,0.0233814,0.0236461,0.02442496666666667
48000,2800,3094,3498,3130.6666666666665,2800,3094,3498,1000,1000,1000,0.0241896,0.0218915,0.0229121,0.022997733333333336
49000,2537,3137,2802,2825.3333333333335,2537,3137,2802,1000,1000,1000,0.0234287,0.023137,0.0222825,0.0229494
50000,3836,2334,3335,3168.3333333333335,3836,2334,3335,1000,1000,1000,0.0232562,0.0225022,0.0235233,0.0230939
51000,3316,2408,2176,2633.3333333333335,3316,2408,2176,1000,1000,1000,0.0253872,0.0255389,0.0269106,0.02594556666666667
52000,2758,2779,2546,2694.3333333333335,2758,2779,2546,1000,1000,1000,0.0263468,0.0254895,0.0242084,0.025348233333333334
53000,3281,3191,3202,3224.6666666666665,3281,3191,3202,1000,1000,1000,0.0262336,0.0251747,0.0266746,0.026027633333333338
54000,3086,3971,3322,3459.6666666666665,3086,3971,3322,1000,1000,1000,0.0258397,0.0258074,0.0255102,0.025719099999999998
55000,2693,2431,3476,2866.6666666666665,2693,2431,3476,1000,1000,1000,0.0256816,0.0260282,0.0293498,0.027019866666666666
56000,3092,2739,3469,3100,3092,2739,3469,1000,1000,1000,0.0276159,0.0256875,0.0257971,0.026366833333333336
57000,2775,3088,3036,2966.3333333333335,2775,3088,3036,1000,1000,1000,0.0291312,0.0280459,0.0266525,0.027943199999999998
58000,2981,3050,2824,2951.6666666666665,2981,3050,2824,1000,1000,1000,0.0274833,0.0259021,0.0281625,0.027182633333333334
59000,3453,3149,3246,3282.6666666666665,3453,3149,3246,1000,1000,1000,0.0280965,0.0289354,0.0287683,0.028600066666666663
60000,3550,3432,2745,3242.3333333333335,3550,3432,2745,1000,1000,1000,0.0283946,0.0270471,0.0302724,0.028571366666666667
61000,2771,3067,3090,2976,2771,3067,3090,1000,1000,1000,0.028473,0.0282233,0.0298628,0.028853033333333333
62000,2790,3158,2812,2920,2790,3158,2812,1000,1000,1000,0.0310093,0.0293553,0.0303163,0.03022696666666667
63000,3303,2275,2936,2838,3303,2275,2936,1000,1000,1000,0.0297686,0.0302227,0.0307516,0.030247633333333333
64000,3228,3065,3403,3232,3228,3065,3403,1000,1000,1000,0.0290181,0.0286846,0.0314603,0.029720999999999997
65000,3288,4049,2915,3417.3333333333335,3288,4049,2915,1000,1000,1000,0.0308881,0.0306515,0.0296599,0.030399833333333334
66000,3437,2987,2992,3138.6666666666665,3437,2987,2992,1000,1000,1000,0.0321663,0.0314096,0.0301883,0.03125473333333333
67000,3324,3104,2890,3106,3324,3104,2890,1000,1000,1000,0.0338326,0.0312976,0.0324267,0.03251896666666667
68000,2464,3265,2992,2907,2464,3265,2992,1000,1000,1000,0.0319953,0.0325402,0.0308818,0.031805766666666666
69000,3242,3311,2688,3080.3333333333335,3242,3311,2688,1000,1000,1000,0.0318373,0.0309606,0.0323275,0.031708466666666664
70000,3249,3331,2890,3156.6666666666665,3249,3331,2890,1000,1000,1000,0.0340652,0.0334506,0.0312128,0.03290953333333333
71000,3096,2962,2960,3006,3096,2962,2960,1000,1000,1000,0.0325097,0.0338088,0.0341606,0.03349303333333333
72000,3191,3106,2789,3028.6666666666665,3191,3106,2789,1000,1000,1000,0.0322401,0.0348083,0.0323989,0.03314910000000001
73000,2701,3118,3070,2963,2701,3118,3070,1000,1000,1000,0.0355594,0.0337617,0.0338967,0.03440593333333333
74000,2856,3707,2892,3151.6666666666665,2856,3707,2892,1000,1000,1000,0.0350506,0.0328969,0.0332848,0.0337441
75000,2099,2754,2855,2569.3333333333335,2099,2754,2855,1000,1000,1000,0.0365408,0.0365566,0.0373602,0.0368192
76000,3190,3020,2834,3014.6666666666665,3190,3020,2834,1000,1000,1000,0.0344999,0.0363637,0.0334508,0.03477146666666667
77000,2859,2690,2701,2750,2859,2690,2701,1000,1000,1000,0.0365558,0.038506,0.0354561,0.0368393
78000,3393,3587,3267,3415.6666666666665,3393,3587,3267,1000,1000,1000,0.0373143,0.0373441,0.0365296,0.03706266666666667
79000,3050,3151,2822,3007.6666666666665,3050,3151,2822,1000,1000,1000,0.0368246,0.0358468,0.0357745,0.03614863333333333
80000,2527,3209,2632,2789.3333333333335,2527,3209,2632,1000,1000,1000,0.0390704,0.037997,0.0375059,0.038191100000000006
81000,2719,3203,3068,2996.6666666666665,2719,3203,3068,1000,1000,1000,0.0393811,0.0405943,0.039696,0.03989046666666667
82000,2718,3087,3014,2939.6666666666665,2718,3087,3014,1000,1000,1000,0.0397994,0.0392996,0.0383018,0.0391336
83000,3514,3001,3227,3247.3333333333335,3514,3001,3227,1000,1000,1000,0.0389931,0.042345,0.0396428,0.040326966666666665
84000,3268,2761,2726,2918.3333333333335,3268,2761,2726,1000,1000,1000,0.0386569,0.0386213,0.0388823,0.03872016666666667
85000,3739,3098,3043,3293.3333333333335,3739,3098,3043,1000,1000,1000,0.0392698,0.040978,0.0388778,0.03970853333333333
86000,2586,3358,2884,2942.6666666666665,2586,3358,2884,1000,1000,1000,0.039555,0.0393969,0.0413597,0.04010386666666666
87000,2398,4166,2694,3086,2398,4166,2694,1000,1000,1000,0.0428342,0.0445604,0.0415313,0.0429753
88000,2406,2929,2934,2756.3333333333335,2406,2929,2934,1000,1000,1000,0.0435114,0.0404704,0.0404626,0.04148146666666667
89000,3660,3524,2216,3133.3333333333335,3660,3524,2216,1000,1000,1000,0.0406925,0.0409388,0.0414891,0.04104013333333333
90000,3207,2879,3082,3056,3207,2879,3082,1000,1000,1000,0.0409153,0.0420693,0.0414891,0.04149123333333333
91000,3247,2604,3282,3044.3333333333335,3247,2604,3282,1000,1000,1000,0.0412145,0.0412338,0.0423475,0.041598600000000006
92000,3542,2430,2881,2951,3542,2430,2881,1000,1000,1000,0.0422625,0.0412092,0.0412065,0.0415594
93000,2661,2891,2623,2725,2661,2891,2623,1000,1000,1000,0.04445,0.0412298,0.0439684,0.043216066666666664
94000,2686,3097,2769,2850.6666666666665,2686,3097,2769,1000,1000,1000,0.0415838,0.0429439,0.0436157,0.042714466666666666
95000,4098,2379,2863,3113.3333333333335,4098,2379,2863,1000,1000,1000,0.0430951,0.045268,0.043608,0.04399036666666667
96000,3089,3127,3469,3228.3333333333335,3089,3127,3469,1000,1000,1000,0.0448804,0.0427681,0.0450684,0.044238966666666664
97000,3302,2943,2543,2929.3333333333335,3302,2943,2543,1000,1000,1000,0.0470411,0.0472027,0.0455373,0.046593699999999995
98000,2692,2478,2658,2609.3333333333335,2692,2478,2658,1000,1000,1000,0.0467393,0.0450935,0.0459475,0.04592676666666667
99000,2833,3115,3439,3129,2833,3115,3439,1000,1000,1000,0.0452163,0.0488827,0.0453658,0.04648826666666667
100000,2436,2467,3314,2739,2436,2467,3314,1000,1000,1000,0.0464742,0.0445414,0.0460624,0.045692666666666666
