N,1st Run,2nd Run,3rd Run,Average,Time 1,Time 2,Time 3,Average Time
1000,3584,3717,3583,3628,0.1334887,0.1362927,0.0929216,0.12090099999999998
2000,3925,4129,4097,4050.3333333333335,0.2350334,0.222465,0.2413876,0.232962
3000,4236,4064,4124,4141.333333333333,0.3716396,0.3391536,0.3871561,0.3659831
4000,4263,4251,4297,4270.333333333333,0.5136537,0.605461,0.475932,0.5316822333333333
5000,4339,4206,4366,4303.666666666667,0.6948487,0.6683788,1.0479163,0.8037146000000001
6000,4407,4370,4394,4390.333333333333,0.8309515,0.7762586,0.7106249,0.7726116666666667
7000,4399,4402,4421,4407.333333333333,0.8889398,0.8138144,0.8202073,0.8409871666666667
8000,4370,4386,4330,4362,0.9424445,0.9306563,0.931865,0.9349886000000001
9000,4342,4379,4439,4386.666666666667,1.0666249,1.0769671,1.0824587,1.0753502333333333
10000,4353,4296,4366,4338.333333333333,1.1945965,1.1888938,1.2005938999999999,1.1946947333333333
11000,4371,4414,4441,4408.666666666667,1.3431206,1.3246924,1.3109587999999999,1.3262572666666665
12000,4454,4396,4423,4424.333333333333,1.4479012,1.5130096,1.512148,1.4910195999999998
13000,4405,4395,4436,4412,1.5994073,1.6021828999999999,1.6192252,1.6069384666666666
14000,4438,4454,4448,4446.666666666667,1.7460267,1.7095196000000001,1.6878213,1.7144558666666665
15000,4446,4434,4447,4442.333333333333,1.8310477,1.8302213,1.8132658,1.8248449333333332
16000,4390,4402,4456,4416,1.9455119,1.9470296999999999,1.9572731,1.9499382333333333
17000,4419,4395,4448,4420.666666666667,2.0830308,2.0999317,2.0783738,2.0871121
18000,4484,4458,4445,4462.333333333333,2.1955385,2.2367044,2.2391787,2.2238072
19000,4450,4482,4461,4464.333333333333,2.3631079,2.3272169,2.3202516,2.3368588
20000,4475,4435,4391,4433.666666666667,2.4789341,2.4778714,2.4379352,2.4649135666666666
21000,4434,4475,4469,4459.333333333333,2.5821865,2.5882341,2.5943037,2.5882414333333332
22000,4482,4449,4483,4471.333333333333,2.7066585,2.7760286,2.7865549,2.756414
23000,4450,4456,4467,4457.666666666667,2.8358545,2.8530639,2.8255517,2.8381567000000003
24000,4464,4438,4469,4457,2.9697307,2.9554683,2.9660957999999997,2.9637649333333336
25000,4444,4467,4447,4452.666666666667,3.067886,3.1178504,3.0986715,3.0948026333333334
26000,4484,4469,4437,4463.333333333333,3.233373,3.2549353,3.2280129,3.2387737333333333
27000,4479,4477,4466,4474,3.3623032,3.3237964,3.2971206,3.3277400666666668
